INFO: 2023-09-14 09:18:06,302 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:18:06.302632
INFO: 2023-09-14 09:18:07,567 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:18:07,567 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:18:07.567183
INFO: 2023-09-14 09:18:07,575 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:18:10,586 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials i15-20020a17090332cf00b001ac7f583f72sm378564plr.209 - gsmtp')
INFO: 2023-09-14 09:20:29,719 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:20:31,011 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:31,011 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:20:31.011883
INFO: 2023-09-14 09:20:32,008 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:32,008 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:20:32.008279
INFO: 2023-09-14 09:20:33,017 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:33,017 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:20:33.017443
INFO: 2023-09-14 09:20:34,321 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:34,321 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:20:34.321125
INFO: 2023-09-14 09:20:35,607 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:20:35,607 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:20:35.607835
INFO: 2023-09-14 09:20:35,607 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:20:38,355 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials h12-20020a170902f54c00b001bf8779e051sm381152plf.289 - gsmtp')
INFO: 2023-09-14 09:25:44,584 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:25:44,584 | FILE: main.py:31 | MESSAGE: No order file found, creating new file
INFO: 2023-09-14 09:25:45,371 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:25:45,371 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:25:45.371926
INFO: 2023-09-14 09:25:46,405 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:25:46,405 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:25:46.405015
INFO: 2023-09-14 09:25:47,405 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:25:47,405 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:25:47.405777
INFO: 2023-09-14 09:25:48,888 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:25:48,888 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:25:48.888483
INFO: 2023-09-14 09:25:50,291 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:25:50,291 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:25:50.291172
INFO: 2023-09-14 09:25:50,291 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:25:53,109 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials k2-20020aa790c2000000b006875df4773fsm310156pfk.163 - gsmtp')
INFO: 2023-09-14 09:32:21,832 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:32:22,448 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:32:22,448 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:32:22.448661
INFO: 2023-09-14 09:32:23,307 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:32:23,307 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:32:23.307784
INFO: 2023-09-14 09:32:24,036 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:32:24,036 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:32:24.036628
INFO: 2023-09-14 09:32:25,079 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:32:25,079 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:32:25.079996
INFO: 2023-09-14 09:32:26,049 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:32:26,049 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:32:26.049233
INFO: 2023-09-14 09:32:26,049 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:32:28,860 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials o10-20020a170902d4ca00b001bf3bdbceb5sm399840plg.134 - gsmtp')
INFO: 2023-09-14 09:33:17,637 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:33:18,242 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:33:18,242 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:33:18.242179
INFO: 2023-09-14 09:33:18,700 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:33:18,700 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:33:18.700808
INFO: 2023-09-14 09:33:19,690 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:33:19,690 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:33:19.690339
INFO: 2023-09-14 09:33:20,741 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:33:20,741 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:33:20.741391
INFO: 2023-09-14 09:33:22,033 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:33:22,033 | FILE: main.py:77 | MESSAGE: Order created with 125 on XLM at 2023-09-14 09:33:22.033134
INFO: 2023-09-14 09:33:22,048 | FILE: main.py:81 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 09:33:24,775 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials n10-20020a170902e54a00b001bf10059251sm397468plf.239 - gsmtp')
INFO: 2023-09-14 09:49:29,832 | FILE: main.py:96 | MESSAGE: working...
INFO: 2023-09-14 09:49:30,861 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:49:30,861 | FILE: main.py:77 | MESSAGE: Order created with 0 on BTC at 2023-09-14 09:49:30.861240
INFO: 2023-09-14 09:49:31,325 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:49:31,325 | FILE: main.py:77 | MESSAGE: Order created with 0 on ETH at 2023-09-14 09:49:31.325746
INFO: 2023-09-14 09:49:32,734 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:49:32,734 | FILE: main.py:77 | MESSAGE: Order created with 3 on DOT at 2023-09-14 09:49:32.734281
INFO: 2023-09-14 09:49:34,052 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 09:49:34,068 | FILE: main.py:77 | MESSAGE: Order created with 0 on SOL at 2023-09-14 09:49:34.068722
INFO: 2023-09-14 09:49:35,080 | FILE: main.py:63 | MESSAGE: PLACING TEST ORDER
